"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"O15320",0,0,0,0,0,0,0,0,0,0,0,0
"O15335",0,0,0,0,0,0,0,0,0,0,0,0
"O15344",0,0,0,0,0,0,0,0,0,0,0,0
"O15355",0,0,0,0,0,0,0,0,0,0,0,0
"O15360",0,0,0,0,0,0,0,0,0,0,0,0
"O15371",0,0,0,0,0,0,0,0,0,0,0,0
"O15372",0,0,0,0,0,0,0,0,0,0,0,0
"O15379",0,0,0,0,0,0,0,0,0,0,0,0
"O15392",0,0,0,0,0,0,0,0,0,0,0,0
"O15400",0,0,0,0,0,0,0,0,0,0,0,0
"O15446",0,0,0,0,0,0,0,0,0,0,0,0
"O15457",0,0,0,0,0,0,0,0,0,0,0,0
"O15503",0,0,0,0,0,0,0,0,0,0,0,0
"O15504",0,0,0,0,0,0,0,0,0,0,0,0
"O15511",0,0,0,0,0,0,0,0,0,0,0,0
"O15514",0,0,0,0,0,0,0,0,0,0,0,0
"O15516",0,0,0,0,0,0,0,0,0,0,0,0
"O15519",0,0,0,0,0,0,0,0,0,0,0,0
"O15537",0,0,0,0,0,0,0,0,0,0,0,0
"O15550",0,0,0,0,0,0,0,0,0,0,0,0
"O43143",0,0,0,0,0,0,0,0,0,0,0,0
"O43157",0,0,0,0,0,0,0,0,0,0,0,0
"O43172",0,0,0,0,0,0,0,0,0,0,0,0
"O43181",0,0,0,0,0,0,0,0,0,0,0,0
"O43184",0,0,0,0,0,0,0,0,0,0,0,0
"O43187",0,0,0,0,0,0,0,0,0,0,0,0
"O43196",0,0,0,0,0,0,0,0,0,0,0,0
"O43242",0,0,0,0,0,0,0,0,0,0,0,0
"O43255",0,0,0,0,0,0,0,0,0,0,0,0
"O43257",0,0,0,0,0,0,0,0,0,0,0,0
"O43264",0,0,0,0,0,0,0,0,0,0,0,0
"O43290",0,0,0,0,0,0,0,0,0,0,0,0
"O43292",0,0,0,0,0,0,0,0,0,0,0,0
"O43299",0,0,0,0,0,0,0,0,0,0,0,0
"O43303",0,0,0,0,0,0,0,0,0,0,0,0
"O43310",0,0,0,0,0,0,0,0,0,0,0,0
"O43318",0,0,0,0,0,0,0,0,0,0,0,0
"O43324",1,1,0,1,1,1,0,0,1,1,1,1
"O43390",0,0,0,0,0,0,0,0,0,0,0,0
"O43395",0,0,0,0,0,0,0,0,0,0,0,0
"O43447",0,0,0,0,0,0,0,0,0,0,0,0
"O43451",0,0,0,0,0,0,0,0,0,0,0,0
