"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"Q16798",0,6679.15,13339.98889,7267.361111,0,5582.866667,0,8603.886111,16046.75556,12107.39444,5768.044444,0
"O43707",322906.225,338839.6556,271920.3667,282315.8583,349248.8417,286640.3306,299487.4639,321442.6944,275420.6917,294964.2667,363784.5722,288001.7778
"Q6P4A8",0,0,0,0,0,0,0,0,0,0,0,0
"P51649",70389.425,84980.21389,90344.07778,76429.37778,73278.35556,87688.4,42032.725,74915.41111,100310.0389,68707.95,80903.05278,93981.025
"Q9Y265",37735.47778,52786.48889,35817.41111,31865.32222,40359.89444,43737.81667,55745.14722,35246.60556,35358.80556,36623.49167,71011.47778,43653.46944
"Q96M27",5255.061111,4061.402778,0,0,1216.111111,2343.502778,0,7593.127778,0,0,5424.269444,0
"O43768",0,0,0,1820.425,0,0,0,0,0,0,0,0
"P41252",0,25608.95278,27367.98056,15689.55278,31289.59444,20589.93333,0,27509.79444,0,27066.25833,31920.16111,28736.94444
"Q96L92",24907.93611,24184.96667,0,14049.15556,17029.86667,16830.27778,21468.525,0,19912.98333,18886.76389,0,0
"P01619",65031.80556,101043.4389,54990.34444,44010.16389,56815.28056,38794.68056,57737.64444,91325.88611,53026.19444,41233.20556,45502.31667,36144.325
"P54136",34042.56667,13283.71389,10833.62778,4980.638889,11880.63333,0,17976.62222,17428.51944,39208.25,18280.41944,20453.29444,0
"Q08257",623040.5528,582535.6889,613850.5417,885197.1139,716944.3,716944.3,651711.1083,559863.85,623040.5528,970053.3306,789446.125,732383.5028
"P00491",223143.9167,179177.4333,218888.0222,221564.9694,167923.6944,229655.8833,179524.6167,182794.55,220764.4333,237958.4833,162665.875,212292.8167
"Q10589",0,188742.4917,164343.5333,0,139288.4583,156268.85,135034.975,198832.2417,163494.7444,112417.95,144444.7472,0
"P04844",0,8719.525,9890.291667,7428.344444,3537.127778,3486.530556,5634.227778,14303.04722,9504.372222,9611.819444,7712.3,42472.01944
"P01031",90534.5,65757.16389,21131.375,43023.30556,58436.30556,34436.2,91127.04167,64365.04167,36339.93056,45502.31667,48664.34167,34916.06389
"P29622",13873.04444,0,12684.50278,0,0,10890.85833,12806.98333,0,15001.91111,0,0,16316.32778
